"query","superkingdom","kingdom","phylum","subphylum","superclass","class","subclass","infraclass","cohort","subcohort","superorder","order","suborder","infraorder","superfamily","family","subfamily","tribe","genus","subgenus","species","subspecies"
"OTU00001","Eukaryota","Metazoa","Mollusca","","","Gastropoda","Caenogastropoda","","","","","","","","","","","","","","",""
"OTU00002","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","Acanthopagrus","","",""
"OTU00003","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish08",""
"OTU00004","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Cyprinidae","Cyprininae","","","","",""
"OTU00005","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","Acanthopagrus","","",""
"OTU00006","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Scorpaenoidei","","","Sebastidae","Sebastinae","","Sebastes","","",""
"OTU00007","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Blenniiformes","Blennioidei","","","Blenniidae","Salariinae","","Parablennius","","Parablennius yatabei",""
"OTU00008","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Scorpaenoidei","","","Sebastidae","Sebastinae","","Sebastiscus","","Sebastiscus marmoratus",""
"OTU00009","","","","","","","","","","","","","","","","","","","","","",""
"OTU00010","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves","","Neognathae","","","","Gruiformes","","","","Rallidae","","","Fulica","","",""
"OTU00011","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves","","Neognathae","","","Galloanserae","Anseriformes","","","","Anatidae","Aythyinae","","Aythya","","",""
"OTU00012","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves","","Neognathae","","","Galloanserae","Anseriformes","","","","Anatidae","Aythyinae","","Aythya","","Aythya ferina",""
"OTU00013","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves","","Neognathae","","","","Passeriformes","","","Corvoidea","Corvidae","","","Corvus","","",""
"OTU00014","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia","","","","","Euarchontoglires","Rodentia","Hystricomorpha","","","Myocastoridae","","","Myocastor","","Myocastor coypus",""
"OTU00015","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia","","","","","Euarchontoglires","Rodentia","Myomorpha","","","Muridae","Murinae","","Mus","Mus","Mus musculus",""
"OTU00016","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia","","","","","Laurasiatheria","Artiodactyla","Suina","","","Suidae","","","Sus","","Sus scrofa",""
"OTU00017","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia","","","","","Laurasiatheria","Chiroptera","Microchiroptera","","","Vespertilionidae","","","Myotis","","",""
"OTU00018","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Pleuronectiformes","Pleuronectoidei","","","Soleidae","","","","","",""
"OTU00019","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Xenocyprididae","Opsariichthyinae","","Nipponocypris","","Nipponocypris temminckii",""
"OTU00020","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Leuciscidae","Pseudaspininae","","Tribolodon","","Tribolodon hakonensis",""
"OTU00021","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Gobionidae","Sarcocheilichthyinae","","Gnathopogon","","Gnathopogon elongatus","Gnathopogon elongatus elongatus"
"OTU00022","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Gobionidae","Sarcocheilichthyinae","","Pseudorasbora","","",""
"OTU00023","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Gobionidae","","","Hemibarbus","","",""
"OTU00024","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Xenocyprididae","Opsariichthyinae","","Zacco","","Zacco platypus",""
"OTU00025","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Halichoeres","","Halichoeres tenuispinis",""
"OTU00026","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Perciformes","Platycephaloidei","","","Platycephalidae","","","Inegocia","","Inegocia japonica",""
"OTU00027","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobionellinae","","Leucopsarion","","Leucopsarion petersii",""
"OTU00028","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Gobiidae","Gobiinae","","Eviota","","Eviota abax",""
"OTU00029","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Carangiformes","","","","Coryphaenidae","","","Coryphaena","","",""
"OTU00030","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_cyprinus",""
"OTU00031","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_cyprinus",""
"OTU00032","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Gobionidae","Sarcocheilichthyinae","","Sarcocheilichthys","","",""
"OTU00033","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Cyprinidae","Cyprininae","","","","",""
"OTU00034","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Cypriniphysae","Cypriniformes","Cyprinoidei","","","Cyprinidae","Cyprininae","","","","",""
"OTU00035","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","Atherinomorphae","Beloniformes","Belonoidei","","","Belonidae","","","","","",""
"OTU00036","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Semicossyphus","","",""
"OTU00037","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish02",""
"OTU00038","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Spariformes","","","","Sparidae","","","Acanthopagrus","","",""
"OTU00039","","","","","","","","","","","","","","","","","","","","","",""
"OTU00040","Eukaryota","Metazoa","Echinodermata","","Asterozoa","Asteroidea","","","","","Valvatacea","Valvatida","","","","Asterinidae","","","Patiria","","",""
"OTU00041","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Mugiliformes","","","","Mugilidae","","","Mugil","","Mugil cephalus",""
"OTU00042","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Mugiliformes","","","","Mugilidae","","","Mugil","","Mugil cephalus",""
"OTU00043","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Characiphysae","Siluriformes","Siluroidei","","","Siluridae","","","Silurus","","",""
"OTU00044","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Ostariophysi","Characiphysae","Siluriformes","Siluroidei","","","Plotosidae","","","Plotosus","","Plotosus japonicus",""
"OTU00045","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","","","","","","","","","","","","","",""
"OTU00046","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish09",""
"OTU00047","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish05",""
"OTU00048","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish08",""
"OTU00049","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_MiFish04",""
"OTU00050","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","","","","","","",""
"OTU00051","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","","","","","","",""
"OTU00052","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Amphibia","","","","","Batrachia","Caudata","","","Salamandroidea","Salamandridae","Pleurodelinae","","","","",""
"OTU00053","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Chaetodontiformes","","","","Leiognathidae","","","Nuchequula","","",""
"OTU00054","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Syngnathiformes","Callionymoidei","","","Callionymidae","","","Repomucenus","","",""
"OTU00055","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Syngnathiformes","Callionymoidei","","","Callionymidae","","","Callionymus","Callionymus","Callionymus valenciennei",""
"OTU00056","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","",""
"OTU00057","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Parajulis","","Parajulis poecilepterus",""
"OTU00058","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_takifugu",""
"OTU00059","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Clupeidae","Dorosomatinae","","Konosirus","","Konosirus punctatus",""
"OTU00060","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Siganidae","","","Siganus","","",""
"OTU00061","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Labriformes","","","","Labridae","","","Pseudolabrus","","Pseudolabrus sieboldi",""
"OTU00062","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","",""
"OTU00063","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","Tetraodontoidei","","Tetradontoidea","Tetraodontidae","","","Takifugu","","Takifugu alboplumbeus",""
"OTU00064","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","","","","","Malacanthidae","Latilinae","","Branchiostegus","","",""
"OTU00065","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","","","","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","STDseqs","","STD_Engraulis",""
"OTU00066","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Otomorpha","Clupei","","Clupeiformes","Clupeoidei","","","Engraulidae","Engraulinae","","Engraulis","","Engraulis japonicus",""
"OTU00067","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Gobiiformes","Gobioidei","","","Odontobutidae","","","Odontobutis","","Odontobutis obscura",""
"OTU00068","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Teleostei","Euteleosteomorpha","","","Tetraodontiformes","","","Balistoidea","Monacanthidae","","","Rudarius","","Rudarius ercodes",""
