"","OTU002","OTU003","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU019","OTU020","OTU021","OTU022","OTU023","OTU025","OTU028","OTU029","OTU030","OTU032","OTU033","OTU034","OTU036","OTU037","OTU042","OTU043","OTU044","OTU046","OTU047","OTU049","OTU053","OTU054","OTU055","OTU056","OTU058","OTU059","OTU061","OTU063","OTU064","OTU065","OTU066","OTU067","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU077","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU099","OTU100","OTU101","OTU102","OTU103","OTU104","OTU107","OTU108","OTU109","OTU112","OTU113","OTU115","OTU116","OTU117","OTU118","OTU119","OTU122","OTU123","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136"
"E01_T002_S010",1588,0,0,14,0,8,0,0,0,0,0,0,0,3985,0,0,1,0,0,0,0,0,1886,0,0,0,0,1,0,0,0,1425,0,0,3177,2155,0,0,0,0,0,0,0,1,0,1860,0,0,0,0,0,0,0,0,1566,0,634,3,2454,1,3079,0,1632,2946,5,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,841,3,0,0,0,0,0,0,0
"E01_T002_S011",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,1,4,0,0,0,0,1,0,1684,0,470,0,517,0,0,0,1,0,0,0,0,0,0,0,0,1595,0,0,2,0,0,1626,0,0,2584,0,0,2928,7,0,0,0,0,0,2024,0,0,0,0,1,0,0,0,0,1923,0,0,0,0,0,0,0,0
"E01_T002_S012",1705,2,77,15,0,1,0,0,0,0,0,0,1,0,0,0,2,0,12,7,0,0,0,0,0,0,3,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,380,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,0
"E01_T002_S013",1,1,10050,0,0,0,0,0,0,0,325,0,0,0,0,0,0,361,1256,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S014",0,1,10411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,1548,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S015",0,2,17476,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,4986,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4226,0,0,0,1,0,0,0,266,0,0,0,0,0,0,0,0,0
"E01_T002_S016",1,0,36184,0,0,0,0,0,0,0,0,0,508,0,1,0,0,0,6125,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S017",0,0,15176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1880,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,782,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3687,2,0,0,0,0,0,0
"E01_T002_S019",0,3842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472,0,0,0,0,6590,0,0,0,4664,6303,8143,0,0,0,0,796,0,1,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2084,0,0,3908,0,0,0,0,0,0,0,0,0,0
"E01_T002_S020",0,8325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719,0,0,0,0,4172,0,0,0,6178,10008,7387,0,0,0,0,3847,0,0,0,0,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5224,0,0,6364,0,0,0,0,0,0,0,0,0,0
"E01_T002_S021",558,2330,0,5,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,1953,0,0,0,1524,3405,3567,0,0,0,0,1043,0,0,0,0,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,2552,0,0,0,0,0,0,0,0,0,0
"E01_T002_S022",2,1631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5351,0,0,0,0,5513,0,0,0,5220,3528,6911,0,0,0,0,5766,0,0,0,0,1622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9609,0,0,5271,0,0,0,0,0,0,0,0,0,0
"E01_T002_S023",0,5439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3129,0,0,0,0,10730,0,0,0,10019,6456,12075,0,0,0,0,7194,0,0,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5973,0,0,3828,0,0,0,0,0,0,0,0,0,0
"E01_T002_S024",3647,0,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S001",13484,0,0,255,0,6598,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1772,0,0,0,2340,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,738,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,390,0,0,0,1,0,0,0
"E01_T003_S002",10365,0,0,253,0,5867,0,0,0,261,0,0,0,0,458,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,4838,0,0,0,5671,0,0,1567,0,0,0,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,353,0,853,1,0,0,0,0,0,0
"E01_T003_S003",18672,0,0,265,0,10698,2,0,0,0,0,0,0,1,83,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,1054,2021,0,0,2,4690,0,0,827,0,0,0,86,1993,1,0,0,866,2,1,0,0,1,0,3,0,0,20,7,1576,5,0,15,6,0,0,0,3,1,778,2,0,0,0,13,0,0,0,0,480,0,671,1,0,0,1,0,3,0
"E01_T003_S004",18891,0,770,293,0,11872,1,0,0,0,0,0,0,0,848,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3747,0,781,0,6274,0,0,974,0,0,0,0,2185,1326,0,0,0,0,591,0,0,723,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,3713,1,591,0,3,0,0,0
"E01_T003_S005",12716,0,0,990,0,12386,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,82,0,263,0,0,0,0,0,0,1178,0,0,0,3782,0,0,1258,0,0,0,1056,1034,0,0,0,0,1112,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,15,0,2845,2,0,0,3,0,0,0
"E01_T003_S006",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"E01_T003_S007",442,0,0,6,0,0,2047,6,0,0,0,0,0,830,377,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,781,0,0,816,1,0,0,1746,0,0,0,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,2944,0,2353,0,2258,1421,4,0,0,1765,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182,0,0,0,0,4
"E01_T003_S008",3178,0,0,81,0,0,5,0,0,0,0,0,0,2561,3644,3,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,2,0,0,768,0,0,0,4,0,0,0,0,1868,0,0,0,0,0,0,0,0,0,0,3302,0,0,6,6628,1527,3899,0,8537,5522,11,0,0,3,2,0,1582,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1180,0
"E01_T003_S009",0,0,1,0,0,0,0,0,0,0,1,0,0,469,653,0,0,0,1,0,1611,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,2091,0,1,0,0,3822,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1617,0,0,0,0,0,0,0,0
"E01_T003_S010",4814,0,0,80,0,1726,2151,117,0,0,0,0,0,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,818,0,0,0,3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5192,0,4511,2137,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S011",0,0,0,0,0,289,0,27,0,0,0,0,0,290,0,0,0,0,0,0,0,0,323,0,48,0,0,0,0,416,0,0,0,0,488,0,0,0,570,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,530,0,779,1725,0,124,0,2604,1773,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,0
"E01_T003_S012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S013",0,0,17636,0,0,0,0,0,0,0,0,0,738,0,0,0,0,513,3491,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0
"E01_T003_S014",0,0,19862,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,1058,1051,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1747,0,0,3619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S015",0,0,6765,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,1261,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S016",0,0,13321,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S017",0,0,9528,0,0,0,0,0,0,0,1260,0,1922,0,0,0,0,551,3519,1175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S018",0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,9,15,13,0,0,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0
"E01_T003_S019",0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,4964,0,0,0,5588,1803,2338,0,0,0,1,1449,0,0,0,0,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5229,0,0,2194,0,0,0,0,0,0,0,0,0,0
"E01_T003_S020",0,1716,0,0,0,1774,0,0,0,0,0,0,0,0,0,0,781,0,0,0,0,2169,0,0,0,2829,2757,6200,0,0,0,0,630,0,0,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,0,0,659,0,0,0,0,0,0,0,0,0,0
"E01_T003_S021",0,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,1607,0,0,0,4206,780,2331,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,1015,0,0,0,0,0,0,0,0,0,0
"E01_T003_S022",0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,1315,0,0,0,1600,1923,2493,0,0,0,1237,2436,0,0,2,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3786,0,0,1387,0,0,0,0,0,0,0,0,0,0
"E01_T003_S023",0,1582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,0,0,0,1661,0,0,0,1648,1547,1580,0,0,0,0,360,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,0,0,1420,0,0,0,0,0,0,0,0,0,0
"E01_T003_S024",0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
