"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T001_S001",1,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA
"E02_T001_S002",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S003",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S004",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S005",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S006",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S007",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S008",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T001_S009",0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA
"E02_T002_S001",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"E02_T002_S002",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S003",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S004",3.65971929952973e-05,NA,0,NA,4.44780500822844e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,NA,7.93776789966661e-05,NA,NA,0,0,NA,NA,0.000135869565217391,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S005",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S006",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S007",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S008",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T002_S009",0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
"E02_T003_S001",1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1
"E02_T003_S002",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S003",8.73682922993587e-06,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0.000118906064209275,0
"E02_T003_S004",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S005",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S006",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S007",1.74736584598717e-05,NA,0,NA,3.07252699983101e-05,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,6.7911714770798e-05,NA,0,0.000201328769881216,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S008",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T003_S009",0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,Inf,0,NA,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0
"E02_T004_S001",1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"E02_T004_S002",0.000331874468482297,NA,0,NA,0.00019592988322579,NA,NA,0.000289017341040462,0.000148720999405116,NA,NA,0,NA,NA,NA,NA,0.000563168762905951,NA,0.000264165896182803,NA,NA,0.0001669727834363,0,NA,NA,0.000375014649009727,NA,NA,NA,0.000396510705789056,NA,0.000281083106905275,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000629722921914358,0.000322130355417159
"E02_T004_S003",0.000238534774221651,NA,0,NA,0.000261239844301053,NA,NA,0,0.000148720999405116,NA,NA,0.000324569944823109,NA,NA,NA,NA,0.00018772292096865,NA,0.000198124422137102,NA,NA,0.0005009183503089,0,NA,NA,0.000257822571194187,NA,NA,NA,0.000793021411578113,NA,0.000655860582778975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000157430730478589,0.000644260710834318
"E02_T004_S004",0.000902283711186244,NA,0.00431034482758621,NA,0.000835967501763369,NA,NA,0.00173410404624277,0.00133848899464604,NA,NA,0.000649139889646219,NA,NA,NA,NA,0.000375445841937301,NA,0.00094659446132171,NA,NA,0.0010018367006178,0.00128766417718259,NA,NA,0.00110160553146607,NA,NA,NA,0.000793021411578113,NA,0.0003747774758737,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000629722921914358,0.000859014281112423
"E02_T004_S005",0,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"E02_T004_S006",0,NA,0,NA,1.30619922150526e-05,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"E02_T004_S007",0.000954139096886603,NA,0,NA,0.000626975626322527,NA,NA,0.000289017341040462,0.00118976799524093,NA,NA,0.00129827977929244,NA,NA,NA,NA,0.0018772292096865,NA,0.000836525337912209,NA,NA,0.000946179106139033,0.00103013134174607,NA,NA,0.000867221375834994,NA,NA,NA,0.000396510705789056,NA,0.000468471844842125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00125944584382872,0.00107376785139053
"E02_T004_S008",0,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"E02_T004_S009",0,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"E02_T005_S001",1,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA
"E02_T005_S002",0.000369896144544032,NA,0,NA,0.000183003545693698,NA,0.00139811254806012,NA,0,0.000365764447695684,NA,0,NA,NA,NA,NA,0.000761200521966072,NA,0.000224181736661187,NA,NA,0.000486109423231169,0.000463606861381548,NA,NA,0.000337990085624155,NA,NA,0.000181422351233672,0.000277829227634747,NA,0,0,NA,0.000233918128654971,NA,NA,NA,NA,0,NA,0.000160017068487305,NA
"E02_T005_S003",0.000265566462749561,NA,0,NA,0.000366007091387396,NA,0.00034952813701503,NA,0.00068870523415978,0,NA,0.000621890547263682,NA,NA,NA,NA,0.000217485863418878,NA,0.000149454491107458,NA,NA,0.000243054711615585,0.000154535620460516,NA,NA,0.000225326723749437,NA,NA,0,0.000185219485089831,NA,0.000146842878120411,0,NA,0.000467836257309942,NA,NA,NA,NA,0,NA,5.33390228291018e-05,NA
"E02_T005_S004",0.000929482619623465,NA,0,NA,0.000869266842045065,NA,0.00104858441104509,NA,0.00206611570247934,0.00146305779078274,NA,0.000621890547263682,NA,NA,NA,NA,0.00130491518051327,NA,0.00127036317441339,NA,NA,0.00094791337530078,0.00123628496368413,NA,NA,0.000337990085624155,NA,NA,0.0012699564586357,0.00157436562326357,NA,0.0013215859030837,0,NA,0.00116959064327485,NA,NA,NA,NA,0,NA,0.00101344143375293,NA
"E02_T005_S005",0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA
"E02_T005_S006",0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA
"E02_T005_S007",0.00106226585099825,NA,0,NA,0.00102939494452705,NA,0.000699056274030059,NA,0.00137741046831956,0.00146305779078274,NA,0.00248756218905473,NA,NA,NA,NA,0.000869943453675511,NA,0.00175609027051263,NA,NA,0.000850691490654546,0.00154535620460516,NA,NA,0.00157728706624606,NA,NA,0.0012699564586357,0.000740877940359326,NA,0.0013215859030837,0,NA,0.000467836257309942,NA,NA,NA,NA,0,NA,0.00122679752506934,NA
"E02_T005_S008",0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA
"E02_T005_S009",0,NA,0,NA,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,0,NA
"E02_T006_S001",1,NA,1,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"E02_T006_S002",0.000201029791318107,NA,0,NA,0.000211835846476785,NA,0,NA,0.000509251400441351,NA,NA,0.000925925925925926,NA,NA,NA,NA,NA,0,0.000271333604666938,NA,0,0.000239568776202835,0.00045024763619991,NA,NA,0.000253196607165464,0.000144487790781679,NA,NA,0.000658219516208656,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.000290613193839,NA
"E02_T006_S003",0.000369635422746197,NA,0,NA,0.000385156084503245,NA,0,NA,0.000679001867255135,NA,NA,0,NA,NA,NA,NA,NA,0,0.000271333604666938,NA,0,0.00047913755240567,0.00045024763619991,NA,NA,0.000411444486643879,0.000577951163126716,NA,NA,0.000329109758104328,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.00021795989537925,NA
"E02_T006_S004",0.00101163378856854,NA,0.00475059382422803,NA,0.000731796560556165,NA,0.0015460729746444,NA,0.00135800373451027,NA,NA,0.00185185185185185,NA,NA,NA,NA,NA,0.000813008130081301,0.00108533441866775,NA,0.0016061676839062,0.00103813136354562,0.00090049527239982,NA,NA,0.00094948727687049,0.000722438953908395,NA,NA,0.000329109758104328,NA,NA,NA,NA,NA,0.000247524752475248,NA,NA,NA,NA,NA,0.0013077593722755,NA
"E02_T006_S005",0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"E02_T006_S006",0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA
"E02_T006_S007",0.00129048156362269,NA,0.00237529691211401,NA,0.00109769484083425,NA,0.00247371675943105,NA,0.00118825326769649,NA,NA,0.000925925925925926,NA,NA,NA,NA,NA,0,0.00149233482566816,NA,0.00128493414712496,0.00107805949291276,0.00174470959027465,NA,NA,0.0011077351563489,0.00108365843086259,NA,NA,0.000329109758104328,NA,NA,NA,NA,NA,0.00148514851485149,NA,NA,NA,NA,NA,0.001162452775356,NA
