"","OTU002","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU023","OTU025","OTU026","OTU027","OTU028","OTU035","OTU036","OTU038","OTU041","OTU042","OTU044","OTU053","OTU055","OTU056","OTU057","OTU059","OTU060","OTU061","OTU062","OTU063","OTU066","OTU067","OTU068","OTU069","OTU070","OTU071","OTU072","OTU073","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU081","OTU082","OTU083","OTU087","OTU090","OTU091","OTU092","OTU093","OTU094","OTU103","OTU104","OTU105","OTU106","OTU108","OTU110","OTU111","OTU112","OTU115","OTU116","OTU118","OTU119","OTU120","OTU121","OTU122","OTU124","OTU125","OTU126","OTU127","OTU128","OTU129","OTU134","OTU135","OTU003","OTU030","OTU037","OTU046","OTU047","OTU049","OTU058","OTU065","OTU113","OTU117"
"E03_T001_S002",6756,26,0,2832,1682,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1634,0,0,0,0,204,0,0,0,0,0,0,0,0,0,1672,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T001_S003",7322,19,0,3435,0,0,0,0,0,0,0,0,0,0,8,0,0,0,571,0,1498,0,0,0,0,265,1,0,0,0,0,0,0,0,0,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T001_S004",8005,27,0,1780,0,0,0,0,0,0,0,0,0,0,3,21,712,0,0,0,1003,0,0,0,0,122,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T001_S005",6651,33,0,4240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,72,2983,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T002_S001",8137,35,0,2217,350,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1434,0,0,0,0,276,795,450,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T002_S002",4349,13,730,2467,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,1,0,0,0,0,40,792,0,0,1239,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T002_S003",8959,38,0,3322,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,689,14,271,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,815,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T002_S004",9908,48,0,1642,0,0,743,0,0,0,0,0,0,0,10,0,0,1150,0,0,2,0,0,0,0,105,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T002_S005",5980,26,0,2364,0,0,0,0,0,0,305,0,352,0,2,0,0,0,0,0,3739,405,0,0,0,314,1,0,0,0,0,0,0,0,0,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S001",7802,142,0,1761,0,0,0,0,0,0,0,0,0,0,3,0,0,0,211,0,600,0,0,0,0,45,1397,0,0,0,0,0,0,0,0,1482,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,4,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S002",4502,30,0,4642,0,0,0,0,0,0,0,0,0,0,1,5,342,0,0,151,1274,0,0,0,0,138,551,327,0,0,0,0,0,0,0,575,0,0,0,0,474,0,0,0,0,0,0,0,341,78,0,0,0,0,286,0,0,0,0,0,0,0,0,0,1675,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S003",4894,20,0,3865,0,0,0,0,0,0,0,0,0,0,7,14,689,261,0,0,691,0,0,0,0,209,1096,1631,0,0,0,0,0,0,0,332,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S004",6278,26,0,3437,0,0,128,0,0,0,0,0,0,0,2,2,400,0,0,109,2237,0,0,0,0,283,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,5,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0
"E03_T003_S005",6909,34,0,1073,0,28,0,0,0,0,0,0,0,0,0,2,324,0,0,0,1354,447,0,0,0,145,1289,0,0,0,0,0,0,0,0,611,549,0,318,241,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,1291,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S001",5783,26,0,3736,0,0,0,0,561,0,0,85,0,0,3,0,0,0,0,0,506,0,0,0,0,123,538,1670,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S002",5534,24,0,4543,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1441,0,0,0,0,184,552,0,0,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S003",12241,41,0,0,0,0,446,0,0,0,0,0,0,0,6,0,0,0,0,0,359,0,0,0,0,16,271,694,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S004",7199,29,0,1500,0,0,0,0,0,0,0,300,0,0,9,0,0,0,578,0,1922,0,0,0,0,204,485,438,0,0,0,0,0,0,0,341,0,0,0,0,347,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1802,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T004_S005",3417,14,0,3544,0,0,0,0,0,0,0,0,0,0,4,0,0,132,209,0,1744,0,0,0,0,272,1211,858,0,456,0,0,538,0,246,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1465,2,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T005_S001",5436,29,0,3090,0,0,120,0,0,0,0,0,0,0,2,12,795,0,178,266,936,0,0,0,0,64,481,520,0,146,0,0,0,0,0,527,0,0,0,0,141,0,0,0,0,752,0,0,0,0,175,0,0,0,0,0,0,0,0,0,5,0,2,0,1561,2,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T005_S002",6183,22,0,3301,0,0,0,0,0,0,0,907,0,0,2,0,194,67,50,483,1047,0,0,0,144,121,712,0,0,0,0,0,0,0,0,597,0,0,111,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,3,0,0,0,0,70,398,0,0,0,0,0,0,0,0,0,0,0
"E03_T005_S003",5501,27,0,3595,0,0,0,0,385,0,0,230,161,0,5,0,44,0,0,0,265,0,0,0,0,132,709,1225,105,0,106,0,0,0,0,754,0,0,193,0,0,0,0,0,0,0,0,242,0,0,0,258,0,0,0,221,0,0,0,0,1,366,0,0,858,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T005_S004",7634,31,0,1586,0,11,0,0,306,0,0,183,0,0,3,0,0,77,0,69,498,0,230,0,0,141,1819,224,0,149,0,0,0,0,0,961,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,75,0,0,0,1002,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T005_S005",6045,32,0,4292,0,0,0,0,0,0,0,220,0,0,2,1,181,0,0,0,871,0,0,0,0,86,1256,499,0,0,0,0,0,0,0,330,0,0,160,0,149,0,0,0,0,317,0,0,147,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,567,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T006_S001",7333,20,0,3497,0,0,0,0,0,0,0,363,0,0,2,0,3,63,0,106,530,150,0,0,0,67,212,0,0,0,0,0,285,0,0,1112,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,734,2,0,231,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0
"E03_T006_S002",5978,15,0,2840,0,0,0,0,0,0,0,0,0,0,6,0,0,0,162,0,1594,0,0,0,0,258,1073,506,0,306,0,0,0,0,0,398,0,181,0,0,0,0,0,0,0,0,145,0,367,0,303,0,0,0,45,0,0,190,0,0,14,0,0,0,1005,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T006_S003",4384,33,0,4655,0,0,0,0,0,0,0,0,0,0,4,0,0,74,8,0,1519,0,0,0,0,144,1033,0,0,0,0,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,288,0,2,0,0,0,1393,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T006_S004",8259,18,0,2450,0,0,344,0,0,0,0,147,0,0,7,5,131,109,0,0,0,0,0,0,0,94,955,703,0,0,0,0,0,0,0,800,0,0,0,0,123,0,0,0,0,0,327,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,635,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T006_S005",6059,21,0,3729,0,0,199,0,370,0,0,0,0,0,3,1,266,88,0,0,740,0,0,0,0,196,1945,348,0,0,0,0,441,0,0,0,0,0,419,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S001",6512,167,0,3054,0,0,0,0,146,0,0,319,0,0,1,0,54,174,0,130,613,0,0,0,138,64,728,765,0,132,0,0,0,0,0,288,0,0,0,0,364,0,0,57,0,0,134,0,74,0,0,0,0,0,0,0,0,0,0,0,4,0,127,0,1115,3,3,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S002",7241,38,0,2291,150,0,0,0,274,0,0,4,0,0,2,0,39,34,290,143,973,0,0,0,0,88,840,760,0,0,0,0,0,0,0,434,225,0,0,0,446,0,0,0,0,72,0,0,0,0,0,0,41,0,0,0,0,19,158,0,20,0,153,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S003",6086,23,0,2219,0,0,0,0,0,0,0,194,0,148,6,10,227,104,46,45,1163,116,216,0,37,267,885,801,0,0,0,0,0,0,0,596,115,0,64,0,188,0,0,123,101,81,0,0,0,0,184,0,0,0,0,0,0,0,0,0,91,0,0,0,1123,12,2,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S004",5226,27,0,2475,0,0,191,0,0,0,5,213,55,85,3,1,28,226,148,38,1414,0,0,0,0,177,1134,626,0,0,0,0,0,162,0,521,250,0,167,0,223,0,0,165,0,0,136,0,240,0,230,0,0,177,0,0,0,0,0,0,0,0,208,0,752,5,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
"E03_T007_S005",7031,38,0,3341,0,0,0,184,237,0,0,351,0,0,4,0,0,0,169,127,432,0,137,0,0,39,1273,241,0,0,0,0,0,0,0,373,58,0,0,0,35,0,0,0,0,0,0,23,30,0,0,78,0,0,0,134,0,47,0,0,0,0,0,0,801,1,1,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S001",6002,14,0,3163,0,0,82,0,0,76,0,73,0,0,2,0,35,42,0,0,1715,0,0,84,0,292,1104,76,43,0,0,0,170,0,0,806,0,0,0,0,82,0,0,0,0,80,0,0,155,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,362,1,2,0,175,0,0,62,0,0,0,0,0,0,0,0,0,0,0
"E03_T008_S002",6689,22,0,3037,145,0,0,0,131,0,0,214,0,0,6,0,99,14,265,5,800,0,0,0,0,168,1474,562,84,0,0,116,258,0,0,834,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
